Event_Type,Time,Source_Node,Destination_Node,Protocol,Packet_Size,Flags,Flow_ID,Source_Address,Destination_Address,Sequence_Number,Packet_ID
+,1.18608,0,1,tcp,1040,-------,0,0.0,1.0,34,52
-,1.19072,0,1,tcp,1040,-------,0,0.0,1.0,20,31
r,1.1924,0,1,tcp,1040,-------,0,0.0,1.0,18,28
+,1.1924,1,0,ack,40,-------,0,1.0,0.0,18,53
-,1.1924,1,0,ack,40,-------,0,1.0,0.0,18,53
r,1.1944,1,0,ack,40,-------,0,1.0,0.0,17,50
+,1.1944,0,1,tcp,1040,-------,0,0.0,1.0,35,54
+,1.1944,0,1,tcp,1040,-------,0,0.0,1.0,36,55
-,1.19904,0,1,tcp,1040,-------,0,0.0,1.0,21,33
r,1.20072,0,1,tcp,1040,-------,0,0.0,1.0,19,30
+,1.20072,1,0,ack,40,-------,0,1.0,0.0,19,56
-,1.20072,1,0,ack,40,-------,0,1.0,0.0,19,56
r,1.20272,1,0,ack,40,-------,0,1.0,0.0,18,53
+,1.20272,0,1,tcp,1040,-------,0,0.0,1.0,37,57
+,1.20272,0,1,tcp,1040,-------,0,0.0,1.0,38,58
-,1.20736,0,1,tcp,1040,-------,0,0.0,1.0,22,34
r,1.20904,0,1,tcp,1040,-------,0,0.0,1.0,20,31
+,1.20904,1,0,ack,40,-------,0,1.0,0.0,20,59
-,1.20904,1,0,ack,40,-------,0,1.0,0.0,20,59
r,1.21104,1,0,ack,40,-------,0,1.0,0.0,19,56
+,1.21104,0,1,tcp,1040,-------,0,0.0,1.0,39,60
-,1.21568,0,1,tcp,1040,-------,0,0.0,1.0,23,36
r,1.21736,0,1,tcp,1040,-------,0,0.0,1.0,21,33
+,1.21736,1,0,ack,40,-------,0,1.0,0.0,21,61
-,1.21736,1,0,ack,40,-------,0,1.0,0.0,21,61
r,1.21936,1,0,ack,40,-------,0,1.0,0.0,20,59
+,1.21936,0,1,tcp,1040,-------,0,0.0,1.0,40,62
-,1.224,0,1,tcp,1040,-------,0,0.0,1.0,24,37
r,1.22568,0,1,tcp,1040,-------,0,0.0,1.0,22,34
+,1.22568,1,0,ack,40,-------,0,1.0,0.0,22,63
-,1.22568,1,0,ack,40,-------,0,1.0,0.0,22,63
r,1.22768,1,0,ack,40,-------,0,1.0,0.0,21,61
+,1.22768,0,1,tcp,1040,-------,0,0.0,1.0,41,64
-,1.23232,0,1,tcp,1040,-------,0,0.0,1.0,25,39
r,1.234,0,1,tcp,1040,-------,0,0.0,1.0,23,36
+,1.234,1,0,ack,40,-------,0,1.0,0.0,23,65
-,1.234,1,0,ack,40,-------,0,1.0,0.0,23,65
r,1.236,1,0,ack,40,-------,0,1.0,0.0,22,63
+,1.236,0,1,tcp,1040,-------,0,0.0,1.0,42,66
-,1.24064,0,1,tcp,1040,-------,0,0.0,1.0,26,40
r,1.24232,0,1,tcp,1040,-------,0,0.0,1.0,24,37
+,1.24232,1,0,ack,40,-------,0,1.0,0.0,24,67
-,1.24232,1,0,ack,40,-------,0,1.0,0.0,24,67
r,1.24432,1,0,ack,40,-------,0,1.0,0.0,23,65
+,1.24432,0,1,tcp,1040,-------,0,0.0,1.0,43,68
-,1.24896,0,1,tcp,1040,-------,0,0.0,1.0,27,42
r,1.25064,0,1,tcp,1040,-------,0,0.0,1.0,25,39
+,1.25064,1,0,ack,40,-------,0,1.0,0.0,25,69
-,1.25064,1,0,ack,40,-------,0,1.0,0.0,25,69
r,1.25264,1,0,ack,40,-------,0,1.0,0.0,24,67
+,1.25264,0,1,tcp,1040,-------,0,0.0,1.0,44,70
-,1.25728,0,1,tcp,1040,-------,0,0.0,1.0,28,43
