Event_Type,Time,Source_Node,Destination_Node,Protocol,Packet_Size,Flags,Flow_ID,Source_Address,Destination_Address,Sequence_Number,Packet_ID
+,2.13256,1,0,ack,40,-------,0,1.0,0.0,131,281
-,2.13256,1,0,ack,40,-------,0,1.0,0.0,131,281
r,2.13456,1,0,ack,40,-------,0,1.0,0.0,130,279
+,2.13456,0,1,tcp,1040,-------,0,0.0,1.0,150,282
-,2.1392,0,1,tcp,1040,-------,0,0.0,1.0,134,250
r,2.14088,0,1,tcp,1040,-------,0,0.0,1.0,132,246
+,2.14088,1,0,ack,40,-------,0,1.0,0.0,132,283
-,2.14088,1,0,ack,40,-------,0,1.0,0.0,132,283
r,2.14288,1,0,ack,40,-------,0,1.0,0.0,131,281
+,2.14288,0,1,tcp,1040,-------,0,0.0,1.0,151,284
-,2.14752,0,1,tcp,1040,-------,0,0.0,1.0,135,252
r,2.1492,0,1,tcp,1040,-------,0,0.0,1.0,133,248
+,2.1492,1,0,ack,40,-------,0,1.0,0.0,133,285
-,2.1492,1,0,ack,40,-------,0,1.0,0.0,133,285
r,2.1512,1,0,ack,40,-------,0,1.0,0.0,132,283
+,2.1512,0,1,tcp,1040,-------,0,0.0,1.0,152,286
-,2.15584,0,1,tcp,1040,-------,0,0.0,1.0,136,254
r,2.15752,0,1,tcp,1040,-------,0,0.0,1.0,134,250
+,2.15752,1,0,ack,40,-------,0,1.0,0.0,134,287
-,2.15752,1,0,ack,40,-------,0,1.0,0.0,134,287
r,2.15952,1,0,ack,40,-------,0,1.0,0.0,133,285
+,2.15952,0,1,tcp,1040,-------,0,0.0,1.0,153,288
-,2.16416,0,1,tcp,1040,-------,0,0.0,1.0,137,256
r,2.16584,0,1,tcp,1040,-------,0,0.0,1.0,135,252
+,2.16584,1,0,ack,40,-------,0,1.0,0.0,135,289
-,2.16584,1,0,ack,40,-------,0,1.0,0.0,135,289
r,2.16784,1,0,ack,40,-------,0,1.0,0.0,134,287
+,2.16784,0,1,tcp,1040,-------,0,0.0,1.0,154,290
-,2.17248,0,1,tcp,1040,-------,0,0.0,1.0,138,258
r,2.17416,0,1,tcp,1040,-------,0,0.0,1.0,136,254
+,2.17416,1,0,ack,40,-------,0,1.0,0.0,136,291
-,2.17416,1,0,ack,40,-------,0,1.0,0.0,136,291
r,2.17616,1,0,ack,40,-------,0,1.0,0.0,135,289
+,2.17616,0,1,tcp,1040,-------,0,0.0,1.0,155,292
-,2.1808,0,1,tcp,1040,-------,0,0.0,1.0,139,260
r,2.18248,0,1,tcp,1040,-------,0,0.0,1.0,137,256
+,2.18248,1,0,ack,40,-------,0,1.0,0.0,137,293
-,2.18248,1,0,ack,40,-------,0,1.0,0.0,137,293
r,2.18448,1,0,ack,40,-------,0,1.0,0.0,136,291
+,2.18448,0,1,tcp,1040,-------,0,0.0,1.0,156,294
-,2.18912,0,1,tcp,1040,-------,0,0.0,1.0,140,262
r,2.1908,0,1,tcp,1040,-------,0,0.0,1.0,138,258
+,2.1908,1,0,ack,40,-------,0,1.0,0.0,138,295
-,2.1908,1,0,ack,40,-------,0,1.0,0.0,138,295
r,2.1928,1,0,ack,40,-------,0,1.0,0.0,137,293
+,2.1928,0,1,tcp,1040,-------,0,0.0,1.0,157,296
-,2.19744,0,1,tcp,1040,-------,0,0.0,1.0,141,264
r,2.19912,0,1,tcp,1040,-------,0,0.0,1.0,139,260
+,2.19912,1,0,ack,40,-------,0,1.0,0.0,139,297
-,2.19912,1,0,ack,40,-------,0,1.0,0.0,139,297
r,2.20112,1,0,ack,40,-------,0,1.0,0.0,138,295
+,2.20112,0,1,tcp,1040,-------,0,0.0,1.0,158,298
-,2.20576,0,1,tcp,1040,-------,0,0.0,1.0,142,266
r,2.20744,0,1,tcp,1040,-------,0,0.0,1.0,140,262
+,2.20744,1,0,ack,40,-------,0,1.0,0.0,140,299
-,2.20744,1,0,ack,40,-------,0,1.0,0.0,140,299
r,2.20944,1,0,ack,40,-------,0,1.0,0.0,139,297
+,2.20944,0,1,tcp,1040,-------,0,0.0,1.0,159,300
-,2.21408,0,1,tcp,1040,-------,0,0.0,1.0,143,268
r,2.21576,0,1,tcp,1040,-------,0,0.0,1.0,141,264
+,2.21576,1,0,ack,40,-------,0,1.0,0.0,141,301
-,2.21576,1,0,ack,40,-------,0,1.0,0.0,141,301
r,2.21776,1,0,ack,40,-------,0,1.0,0.0,140,299
+,2.21776,0,1,tcp,1040,-------,0,0.0,1.0,160,302
-,2.2224,0,1,tcp,1040,-------,0,0.0,1.0,144,270
r,2.22408,0,1,tcp,1040,-------,0,0.0,1.0,142,266
+,2.22408,1,0,ack,40,-------,0,1.0,0.0,142,303
-,2.22408,1,0,ack,40,-------,0,1.0,0.0,142,303
r,2.22608,1,0,ack,40,-------,0,1.0,0.0,141,301
+,2.22608,0,1,tcp,1040,-------,0,0.0,1.0,161,304
-,2.23072,0,1,tcp,1040,-------,0,0.0,1.0,145,272
r,2.2324,0,1,tcp,1040,-------,0,0.0,1.0,143,268
+,2.2324,1,0,ack,40,-------,0,1.0,0.0,143,305
-,2.2324,1,0,ack,40,-------,0,1.0,0.0,143,305
r,2.2344,1,0,ack,40,-------,0,1.0,0.0,142,303
+,2.2344,0,1,tcp,1040,-------,0,0.0,1.0,162,306
-,2.23904,0,1,tcp,1040,-------,0,0.0,1.0,146,274
r,2.24072,0,1,tcp,1040,-------,0,0.0,1.0,144,270
+,2.24072,1,0,ack,40,-------,0,1.0,0.0,144,307
-,2.24072,1,0,ack,40,-------,0,1.0,0.0,144,307
r,2.24272,1,0,ack,40,-------,0,1.0,0.0,143,305
+,2.24272,0,1,tcp,1040,-------,0,0.0,1.0,163,308
-,2.24736,0,1,tcp,1040,-------,0,0.0,1.0,147,276
r,2.24904,0,1,tcp,1040,-------,0,0.0,1.0,145,272
+,2.24904,1,0,ack,40,-------,0,1.0,0.0,145,309
-,2.24904,1,0,ack,40,-------,0,1.0,0.0,145,309
r,2.25104,1,0,ack,40,-------,0,1.0,0.0,144,307
+,2.25104,0,1,tcp,1040,-------,0,0.0,1.0,164,310
-,2.25568,0,1,tcp,1040,-------,0,0.0,1.0,148,278
r,2.25736,0,1,tcp,1040,-------,0,0.0,1.0,146,274
+,2.25736,1,0,ack,40,-------,0,1.0,0.0,146,311
-,2.25736,1,0,ack,40,-------,0,1.0,0.0,146,311
r,2.25936,1,0,ack,40,-------,0,1.0,0.0,145,309
+,2.25936,0,1,tcp,1040,-------,0,0.0,1.0,165,312
-,2.264,0,1,tcp,1040,-------,0,0.0,1.0,149,280
r,2.26568,0,1,tcp,1040,-------,0,0.0,1.0,147,276
+,2.26568,1,0,ack,40,-------,0,1.0,0.0,147,313
-,2.26568,1,0,ack,40,-------,0,1.0,0.0,147,313
r,2.26768,1,0,ack,40,-------,0,1.0,0.0,146,311
+,2.26768,0,1,tcp,1040,-------,0,0.0,1.0,166,314
-,2.27232,0,1,tcp,1040,-------,0,0.0,1.0,150,282
r,2.274,0,1,tcp,1040,-------,0,0.0,1.0,148,278
+,2.274,1,0,ack,40,-------,0,1.0,0.0,148,315
-,2.274,1,0,ack,40,-------,0,1.0,0.0,148,315
r,2.276,1,0,ack,40,-------,0,1.0,0.0,147,313
+,2.276,0,1,tcp,1040,-------,0,0.0,1.0,167,316
-,2.28064,0,1,tcp,1040,-------,0,0.0,1.0,151,284
r,2.28232,0,1,tcp,1040,-------,0,0.0,1.0,149,280
+,2.28232,1,0,ack,40,-------,0,1.0,0.0,149,317
-,2.28232,1,0,ack,40,-------,0,1.0,0.0,149,317
r,2.28432,1,0,ack,40,-------,0,1.0,0.0,148,315
+,2.28432,0,1,tcp,1040,-------,0,0.0,1.0,168,318
-,2.28896,0,1,tcp,1040,-------,0,0.0,1.0,152,286
r,2.29064,0,1,tcp,1040,-------,0,0.0,1.0,150,282
+,2.29064,1,0,ack,40,-------,0,1.0,0.0,150,319
-,2.29064,1,0,ack,40,-------,0,1.0,0.0,150,319
r,2.29264,1,0,ack,40,-------,0,1.0,0.0,149,317
+,2.29264,0,1,tcp,1040,-------,0,0.0,1.0,169,320
-,2.29728,0,1,tcp,1040,-------,0,0.0,1.0,153,288
r,2.29896,0,1,tcp,1040,-------,0,0.0,1.0,151,284
+,2.29896,1,0,ack,40,-------,0,1.0,0.0,151,321
-,2.29896,1,0,ack,40,-------,0,1.0,0.0,151,321
r,2.30096,1,0,ack,40,-------,0,1.0,0.0,150,319
+,2.30096,0,1,tcp,1040,-------,0,0.0,1.0,170,322
-,2.3056,0,1,tcp,1040,-------,0,0.0,1.0,154,290
r,2.30728,0,1,tcp,1040,-------,0,0.0,1.0,152,286
+,2.30728,1,0,ack,40,-------,0,1.0,0.0,152,323
-,2.30728,1,0,ack,40,-------,0,1.0,0.0,152,323
r,2.30928,1,0,ack,40,-------,0,1.0,0.0,151,321
+,2.30928,0,1,tcp,1040,-------,0,0.0,1.0,171,324
-,2.31392,0,1,tcp,1040,-------,0,0.0,1.0,155,292
r,2.3156,0,1,tcp,1040,-------,0,0.0,1.0,153,288
+,2.3156,1,0,ack,40,-------,0,1.0,0.0,153,325
-,2.3156,1,0,ack,40,-------,0,1.0,0.0,153,325
r,2.3176,1,0,ack,40,-------,0,1.0,0.0,152,323
+,2.3176,0,1,tcp,1040,-------,0,0.0,1.0,172,326
-,2.32224,0,1,tcp,1040,-------,0,0.0,1.0,156,294
r,2.32392,0,1,tcp,1040,-------,0,0.0,1.0,154,290
+,2.32392,1,0,ack,40,-------,0,1.0,0.0,154,327
-,2.32392,1,0,ack,40,-------,0,1.0,0.0,154,327
r,2.32592,1,0,ack,40,-------,0,1.0,0.0,153,325
+,2.32592,0,1,tcp,1040,-------,0,0.0,1.0,173,328
-,2.33056,0,1,tcp,1040,-------,0,0.0,1.0,157,296
r,2.33224,0,1,tcp,1040,-------,0,0.0,1.0,155,292
+,2.33224,1,0,ack,40,-------,0,1.0,0.0,155,329
-,2.33224,1,0,ack,40,-------,0,1.0,0.0,155,329
r,2.33424,1,0,ack,40,-------,0,1.0,0.0,154,327
+,2.33424,0,1,tcp,1040,-------,0,0.0,1.0,174,330
-,2.33888,0,1,tcp,1040,-------,0,0.0,1.0,158,298
r,2.34056,0,1,tcp,1040,-------,0,0.0,1.0,156,294
+,2.34056,1,0,ack,40,-------,0,1.0,0.0,156,331
-,2.34056,1,0,ack,40,-------,0,1.0,0.0,156,331
r,2.34256,1,0,ack,40,-------,0,1.0,0.0,155,329
+,2.34256,0,1,tcp,1040,-------,0,0.0,1.0,175,332
-,2.3472,0,1,tcp,1040,-------,0,0.0,1.0,159,300
r,2.34888,0,1,tcp,1040,-------,0,0.0,1.0,157,296
+,2.34888,1,0,ack,40,-------,0,1.0,0.0,157,333
-,2.34888,1,0,ack,40,-------,0,1.0,0.0,157,333
r,2.35088,1,0,ack,40,-------,0,1.0,0.0,156,331
+,2.35088,0,1,tcp,1040,-------,0,0.0,1.0,176,334
-,2.35552,0,1,tcp,1040,-------,0,0.0,1.0,160,302
r,2.3572,0,1,tcp,1040,-------,0,0.0,1.0,158,298
+,2.3572,1,0,ack,40,-------,0,1.0,0.0,158,335
-,2.3572,1,0,ack,40,-------,0,1.0,0.0,158,335
r,2.3592,1,0,ack,40,-------,0,1.0,0.0,157,333
+,2.3592,0,1,tcp,1040,-------,0,0.0,1.0,177,336
-,2.36384,0,1,tcp,1040,-------,0,0.0,1.0,161,304
r,2.36552,0,1,tcp,1040,-------,0,0.0,1.0,159,300
+,2.36552,1,0,ack,40,-------,0,1.0,0.0,159,337
-,2.36552,1,0,ack,40,-------,0,1.0,0.0,159,337
r,2.36752,1,0,ack,40,-------,0,1.0,0.0,158,335
+,2.36752,0,1,tcp,1040,-------,0,0.0,1.0,178,338
-,2.37216,0,1,tcp,1040,-------,0,0.0,1.0,162,306
r,2.37384,0,1,tcp,1040,-------,0,0.0,1.0,160,302
+,2.37384,1,0,ack,40,-------,0,1.0,0.0,160,339
-,2.37384,1,0,ack,40,-------,0,1.0,0.0,160,339
r,2.37584,1,0,ack,40,-------,0,1.0,0.0,159,337
+,2.37584,0,1,tcp,1040,-------,0,0.0,1.0,179,340
-,2.38048,0,1,tcp,1040,-------,0,0.0,1.0,163,308
r,2.38216,0,1,tcp,1040,-------,0,0.0,1.0,161,304
+,2.38216,1,0,ack,40,-------,0,1.0,0.0,161,341
-,2.38216,1,0,ack,40,-------,0,1.0,0.0,161,341
r,2.38416,1,0,ack,40,-------,0,1.0,0.0,160,339
+,2.38416,0,1,tcp,1040,-------,0,0.0,1.0,180,342
-,2.3888,0,1,tcp,1040,-------,0,0.0,1.0,164,310
r,2.39048,0,1,tcp,1040,-------,0,0.0,1.0,162,306
+,2.39048,1,0,ack,40,-------,0,1.0,0.0,162,343
-,2.39048,1,0,ack,40,-------,0,1.0,0.0,162,343
r,2.39248,1,0,ack,40,-------,0,1.0,0.0,161,341
+,2.39248,0,1,tcp,1040,-------,0,0.0,1.0,181,344
-,2.39712,0,1,tcp,1040,-------,0,0.0,1.0,165,312
r,2.3988,0,1,tcp,1040,-------,0,0.0,1.0,163,308
+,2.3988,1,0,ack,40,-------,0,1.0,0.0,163,345
-,2.3988,1,0,ack,40,-------,0,1.0,0.0,163,345
r,2.4008,1,0,ack,40,-------,0,1.0,0.0,162,343
+,2.4008,0,1,tcp,1040,-------,0,0.0,1.0,182,346
-,2.40544,0,1,tcp,1040,-------,0,0.0,1.0,166,314
r,2.40712,0,1,tcp,1040,-------,0,0.0,1.0,164,310
+,2.40712,1,0,ack,40,-------,0,1.0,0.0,164,347
-,2.40712,1,0,ack,40,-------,0,1.0,0.0,164,347
r,2.40912,1,0,ack,40,-------,0,1.0,0.0,163,345
+,2.40912,0,1,tcp,1040,-------,0,0.0,1.0,183,348
-,2.41376,0,1,tcp,1040,-------,0,0.0,1.0,167,316
r,2.41544,0,1,tcp,1040,-------,0,0.0,1.0,165,312
+,2.41544,1,0,ack,40,-------,0,1.0,0.0,165,349
-,2.41544,1,0,ack,40,-------,0,1.0,0.0,165,349
r,2.41744,1,0,ack,40,-------,0,1.0,0.0,164,347
+,2.41744,0,1,tcp,1040,-------,0,0.0,1.0,184,350
-,2.42208,0,1,tcp,1040,-------,0,0.0,1.0,168,318
r,2.42376,0,1,tcp,1040,-------,0,0.0,1.0,166,314
+,2.42376,1,0,ack,40,-------,0,1.0,0.0,166,351
-,2.42376,1,0,ack,40,-------,0,1.0,0.0,166,351
r,2.42576,1,0,ack,40,-------,0,1.0,0.0,165,349
+,2.42576,0,1,tcp,1040,-------,0,0.0,1.0,185,352
-,2.4304,0,1,tcp,1040,-------,0,0.0,1.0,169,320
r,2.43208,0,1,tcp,1040,-------,0,0.0,1.0,167,316
+,2.43208,1,0,ack,40,-------,0,1.0,0.0,167,353
-,2.43208,1,0,ack,40,-------,0,1.0,0.0,167,353
r,2.43408,1,0,ack,40,-------,0,1.0,0.0,166,351
+,2.43408,0,1,tcp,1040,-------,0,0.0,1.0,186,354
-,2.43872,0,1,tcp,1040,-------,0,0.0,1.0,170,322
r,2.4404,0,1,tcp,1040,-------,0,0.0,1.0,168,318
+,2.4404,1,0,ack,40,-------,0,1.0,0.0,168,355
-,2.4404,1,0,ack,40,-------,0,1.0,0.0,168,355
r,2.4424,1,0,ack,40,-------,0,1.0,0.0,167,353
+,2.4424,0,1,tcp,1040,-------,0,0.0,1.0,187,356
-,2.44704,0,1,tcp,1040,-------,0,0.0,1.0,171,324
r,2.44872,0,1,tcp,1040,-------,0,0.0,1.0,169,320
+,2.44872,1,0,ack,40,-------,0,1.0,0.0,169,357
-,2.44872,1,0,ack,40,-------,0,1.0,0.0,169,357
r,2.45072,1,0,ack,40,-------,0,1.0,0.0,168,355
+,2.45072,0,1,tcp,1040,-------,0,0.0,1.0,188,358
-,2.45536,0,1,tcp,1040,-------,0,0.0,1.0,172,326
r,2.45704,0,1,tcp,1040,-------,0,0.0,1.0,170,322
+,2.45704,1,0,ack,40,-------,0,1.0,0.0,170,359
-,2.45704,1,0,ack,40,-------,0,1.0,0.0,170,359
r,2.45904,1,0,ack,40,-------,0,1.0,0.0,169,357
+,2.45904,0,1,tcp,1040,-------,0,0.0,1.0,189,360
-,2.46368,0,1,tcp,1040,-------,0,0.0,1.0,173,328
r,2.46536,0,1,tcp,1040,-------,0,0.0,1.0,171,324
+,2.46536,1,0,ack,40,-------,0,1.0,0.0,171,361
-,2.46536,1,0,ack,40,-------,0,1.0,0.0,171,361
r,2.46736,1,0,ack,40,-------,0,1.0,0.0,170,359
+,2.46736,0,1,tcp,1040,-------,0,0.0,1.0,190,362
-,2.472,0,1,tcp,1040,-------,0,0.0,1.0,174,330
r,2.47368,0,1,tcp,1040,-------,0,0.0,1.0,172,326
+,2.47368,1,0,ack,40,-------,0,1.0,0.0,172,363
-,2.47368,1,0,ack,40,-------,0,1.0,0.0,172,363
r,2.47568,1,0,ack,40,-------,0,1.0,0.0,171,361
+,2.47568,0,1,tcp,1040,-------,0,0.0,1.0,191,364
-,2.48032,0,1,tcp,1040,-------,0,0.0,1.0,175,332
r,2.482,0,1,tcp,1040,-------,0,0.0,1.0,173,328
+,2.482,1,0,ack,40,-------,0,1.0,0.0,173,365
-,2.482,1,0,ack,40,-------,0,1.0,0.0,173,365
r,2.484,1,0,ack,40,-------,0,1.0,0.0,172,363
+,2.484,0,1,tcp,1040,-------,0,0.0,1.0,192,366
-,2.48864,0,1,tcp,1040,-------,0,0.0,1.0,176,334
r,2.49032,0,1,tcp,1040,-------,0,0.0,1.0,174,330
+,2.49032,1,0,ack,40,-------,0,1.0,0.0,174,367
-,2.49032,1,0,ack,40,-------,0,1.0,0.0,174,367
r,2.49232,1,0,ack,40,-------,0,1.0,0.0,173,365
+,2.49232,0,1,tcp,1040,-------,0,0.0,1.0,193,368
-,2.49696,0,1,tcp,1040,-------,0,0.0,1.0,177,336
r,2.49864,0,1,tcp,1040,-------,0,0.0,1.0,175,332
+,2.49864,1,0,ack,40,-------,0,1.0,0.0,175,369
-,2.49864,1,0,ack,40,-------,0,1.0,0.0,175,369
r,2.50064,1,0,ack,40,-------,0,1.0,0.0,174,367
+,2.50064,0,1,tcp,1040,-------,0,0.0,1.0,194,370
-,2.50528,0,1,tcp,1040,-------,0,0.0,1.0,178,338
r,2.50696,0,1,tcp,1040,-------,0,0.0,1.0,176,334
+,2.50696,1,0,ack,40,-------,0,1.0,0.0,176,371
-,2.50696,1,0,ack,40,-------,0,1.0,0.0,176,371
r,2.50896,1,0,ack,40,-------,0,1.0,0.0,175,369
+,2.50896,0,1,tcp,1040,-------,0,0.0,1.0,195,372
-,2.5136,0,1,tcp,1040,-------,0,0.0,1.0,179,340
r,2.51528,0,1,tcp,1040,-------,0,0.0,1.0,177,336
+,2.51528,1,0,ack,40,-------,0,1.0,0.0,177,373
-,2.51528,1,0,ack,40,-------,0,1.0,0.0,177,373
r,2.51728,1,0,ack,40,-------,0,1.0,0.0,176,371
+,2.51728,0,1,tcp,1040,-------,0,0.0,1.0,196,374
-,2.52192,0,1,tcp,1040,-------,0,0.0,1.0,180,342
r,2.5236,0,1,tcp,1040,-------,0,0.0,1.0,178,338
+,2.5236,1,0,ack,40,-------,0,1.0,0.0,178,375
-,2.5236,1,0,ack,40,-------,0,1.0,0.0,178,375
r,2.5256,1,0,ack,40,-------,0,1.0,0.0,177,373
+,2.5256,0,1,tcp,1040,-------,0,0.0,1.0,197,376
-,2.53024,0,1,tcp,1040,-------,0,0.0,1.0,181,344
r,2.53192,0,1,tcp,1040,-------,0,0.0,1.0,179,340
+,2.53192,1,0,ack,40,-------,0,1.0,0.0,179,377
-,2.53192,1,0,ack,40,-------,0,1.0,0.0,179,377
r,2.53392,1,0,ack,40,-------,0,1.0,0.0,178,375
+,2.53392,0,1,tcp,1040,-------,0,0.0,1.0,198,378
-,2.53856,0,1,tcp,1040,-------,0,0.0,1.0,182,346
r,2.54024,0,1,tcp,1040,-------,0,0.0,1.0,180,342
+,2.54024,1,0,ack,40,-------,0,1.0,0.0,180,379
-,2.54024,1,0,ack,40,-------,0,1.0,0.0,180,379
r,2.54224,1,0,ack,40,-------,0,1.0,0.0,179,377
+,2.54224,0,1,tcp,1040,-------,0,0.0,1.0,199,380
-,2.54688,0,1,tcp,1040,-------,0,0.0,1.0,183,348
r,2.54856,0,1,tcp,1040,-------,0,0.0,1.0,181,344
+,2.54856,1,0,ack,40,-------,0,1.0,0.0,181,381
-,2.54856,1,0,ack,40,-------,0,1.0,0.0,181,381
r,2.55056,1,0,ack,40,-------,0,1.0,0.0,180,379
+,2.55056,0,1,tcp,1040,-------,0,0.0,1.0,200,382
-,2.5552,0,1,tcp,1040,-------,0,0.0,1.0,184,350
r,2.55688,0,1,tcp,1040,-------,0,0.0,1.0,182,346
+,2.55688,1,0,ack,40,-------,0,1.0,0.0,182,383
-,2.55688,1,0,ack,40,-------,0,1.0,0.0,182,383
r,2.55888,1,0,ack,40,-------,0,1.0,0.0,181,381
+,2.55888,0,1,tcp,1040,-------,0,0.0,1.0,201,384
-,2.56352,0,1,tcp,1040,-------,0,0.0,1.0,185,352
r,2.5652,0,1,tcp,1040,-------,0,0.0,1.0,183,348
+,2.5652,1,0,ack,40,-------,0,1.0,0.0,183,385
-,2.5652,1,0,ack,40,-------,0,1.0,0.0,183,385
r,2.5672,1,0,ack,40,-------,0,1.0,0.0,182,383
+,2.5672,0,1,tcp,1040,-------,0,0.0,1.0,202,386
-,2.57184,0,1,tcp,1040,-------,0,0.0,1.0,186,354
r,2.57352,0,1,tcp,1040,-------,0,0.0,1.0,184,350
+,2.57352,1,0,ack,40,-------,0,1.0,0.0,184,387
-,2.57352,1,0,ack,40,-------,0,1.0,0.0,184,387
r,2.57552,1,0,ack,40,-------,0,1.0,0.0,183,385
+,2.57552,0,1,tcp,1040,-------,0,0.0,1.0,203,388
-,2.58016,0,1,tcp,1040,-------,0,0.0,1.0,187,356
r,2.58184,0,1,tcp,1040,-------,0,0.0,1.0,185,352
+,2.58184,1,0,ack,40,-------,0,1.0,0.0,185,389
-,2.58184,1,0,ack,40,-------,0,1.0,0.0,185,389
r,2.58384,1,0,ack,40,-------,0,1.0,0.0,184,387
+,2.58384,0,1,tcp,1040,-------,0,0.0,1.0,204,390
-,2.58848,0,1,tcp,1040,-------,0,0.0,1.0,188,358
r,2.59016,0,1,tcp,1040,-------,0,0.0,1.0,186,354
+,2.59016,1,0,ack,40,-------,0,1.0,0.0,186,391
-,2.59016,1,0,ack,40,-------,0,1.0,0.0,186,391
r,2.59216,1,0,ack,40,-------,0,1.0,0.0,185,389
+,2.59216,0,1,tcp,1040,-------,0,0.0,1.0,205,392
-,2.5968,0,1,tcp,1040,-------,0,0.0,1.0,189,360
r,2.59848,0,1,tcp,1040,-------,0,0.0,1.0,187,356
+,2.59848,1,0,ack,40,-------,0,1.0,0.0,187,393
-,2.59848,1,0,ack,40,-------,0,1.0,0.0,187,393
r,2.60048,1,0,ack,40,-------,0,1.0,0.0,186,391
+,2.60048,0,1,tcp,1040,-------,0,0.0,1.0,206,394
-,2.60512,0,1,tcp,1040,-------,0,0.0,1.0,190,362
r,2.6068,0,1,tcp,1040,-------,0,0.0,1.0,188,358
+,2.6068,1,0,ack,40,-------,0,1.0,0.0,188,395
-,2.6068,1,0,ack,40,-------,0,1.0,0.0,188,395
r,2.6088,1,0,ack,40,-------,0,1.0,0.0,187,393
+,2.6088,0,1,tcp,1040,-------,0,0.0,1.0,207,396
-,2.61344,0,1,tcp,1040,-------,0,0.0,1.0,191,364
r,2.61512,0,1,tcp,1040,-------,0,0.0,1.0,189,360
+,2.61512,1,0,ack,40,-------,0,1.0,0.0,189,397
-,2.61512,1,0,ack,40,-------,0,1.0,0.0,189,397
r,2.61712,1,0,ack,40,-------,0,1.0,0.0,188,395
+,2.61712,0,1,tcp,1040,-------,0,0.0,1.0,208,398
-,2.62176,0,1,tcp,1040,-------,0,0.0,1.0,192,366
r,2.62344,0,1,tcp,1040,-------,0,0.0,1.0,190,362
+,2.62344,1,0,ack,40,-------,0,1.0,0.0,190,399
-,2.62344,1,0,ack,40,-------,0,1.0,0.0,190,399
r,2.62544,1,0,ack,40,-------,0,1.0,0.0,189,397
+,2.62544,0,1,tcp,1040,-------,0,0.0,1.0,209,400
-,2.63008,0,1,tcp,1040,-------,0,0.0,1.0,193,368
r,2.63176,0,1,tcp,1040,-------,0,0.0,1.0,191,364
+,2.63176,1,0,ack,40,-------,0,1.0,0.0,191,401
-,2.63176,1,0,ack,40,-------,0,1.0,0.0,191,401
r,2.63376,1,0,ack,40,-------,0,1.0,0.0,190,399
+,2.63376,0,1,tcp,1040,-------,0,0.0,1.0,210,402
-,2.6384,0,1,tcp,1040,-------,0,0.0,1.0,194,370
r,2.64008,0,1,tcp,1040,-------,0,0.0,1.0,192,366
+,2.64008,1,0,ack,40,-------,0,1.0,0.0,192,403
-,2.64008,1,0,ack,40,-------,0,1.0,0.0,192,403
r,2.64208,1,0,ack,40,-------,0,1.0,0.0,191,401
+,2.64208,0,1,tcp,1040,-------,0,0.0,1.0,211,404
-,2.64672,0,1,tcp,1040,-------,0,0.0,1.0,195,372
r,2.6484,0,1,tcp,1040,-------,0,0.0,1.0,193,368
+,2.6484,1,0,ack,40,-------,0,1.0,0.0,193,405
-,2.6484,1,0,ack,40,-------,0,1.0,0.0,193,405
r,2.6504,1,0,ack,40,-------,0,1.0,0.0,192,403
+,2.6504,0,1,tcp,1040,-------,0,0.0,1.0,212,406
-,2.65504,0,1,tcp,1040,-------,0,0.0,1.0,196,374
r,2.65672,0,1,tcp,1040,-------,0,0.0,1.0,194,370
+,2.65672,1,0,ack,40,-------,0,1.0,0.0,194,407
-,2.65672,1,0,ack,40,-------,0,1.0,0.0,194,407
r,2.65872,1,0,ack,40,-------,0,1.0,0.0,193,405
+,2.65872,0,1,tcp,1040,-------,0,0.0,1.0,213,408
-,2.66336,0,1,tcp,1040,-------,0,0.0,1.0,197,376
r,2.66504,0,1,tcp,1040,-------,0,0.0,1.0,195,372
+,2.66504,1,0,ack,40,-------,0,1.0,0.0,195,409
-,2.66504,1,0,ack,40,-------,0,1.0,0.0,195,409
r,2.66704,1,0,ack,40,-------,0,1.0,0.0,194,407
+,2.66704,0,1,tcp,1040,-------,0,0.0,1.0,214,410
-,2.67168,0,1,tcp,1040,-------,0,0.0,1.0,198,378
r,2.67336,0,1,tcp,1040,-------,0,0.0,1.0,196,374
+,2.67336,1,0,ack,40,-------,0,1.0,0.0,196,411
-,2.67336,1,0,ack,40,-------,0,1.0,0.0,196,411
r,2.67536,1,0,ack,40,-------,0,1.0,0.0,195,409
+,2.67536,0,1,tcp,1040,-------,0,0.0,1.0,215,412
-,2.68,0,1,tcp,1040,-------,0,0.0,1.0,199,380
r,2.68168,0,1,tcp,1040,-------,0,0.0,1.0,197,376
+,2.68168,1,0,ack,40,-------,0,1.0,0.0,197,413
-,2.68168,1,0,ack,40,-------,0,1.0,0.0,197,413
r,2.68368,1,0,ack,40,-------,0,1.0,0.0,196,411
+,2.68368,0,1,tcp,1040,-------,0,0.0,1.0,216,414
-,2.68832,0,1,tcp,1040,-------,0,0.0,1.0,200,382
r,2.69,0,1,tcp,1040,-------,0,0.0,1.0,198,378
+,2.69,1,0,ack,40,-------,0,1.0,0.0,198,415
-,2.69,1,0,ack,40,-------,0,1.0,0.0,198,415
r,2.692,1,0,ack,40,-------,0,1.0,0.0,197,413
+,2.692,0,1,tcp,1040,-------,0,0.0,1.0,217,416
-,2.69664,0,1,tcp,1040,-------,0,0.0,1.0,201,384
r,2.69832,0,1,tcp,1040,-------,0,0.0,1.0,199,380
+,2.69832,1,0,ack,40,-------,0,1.0,0.0,199,417
-,2.69832,1,0,ack,40,-------,0,1.0,0.0,199,417
